STATEFIPS,STATE,zipcode,Low_income,Total_Pop
34,NJ,7002,35.31,31780
34,NJ,7029,38.4,9140
34,NJ,7030,12.6,29050
34,NJ,7032,38.4,18880
34,NJ,7047,42.16,29200
34,NJ,7086,25.1,7690
34,NJ,7087,50.69,31840
34,NJ,7093,45.09,29250
34,NJ,7094,23.47,9630
34,NJ,7302,13.86,25030
34,NJ,7304,43.81,22210
34,NJ,7305,43.05,30080
34,NJ,7306,38.32,26200
34,NJ,7307,37.06,21260
34,NJ,7310,14.45,7060
34,NJ,7311,7.14,560
36,NY,6390,26.67,150
36,NY,10001,25.76,14520
36,NY,10002,50.21,42180
36,NY,10003,17.55,28660
36,NY,10004,14.52,2480
36,NY,10005,11.62,5940
36,NY,10006,13.08,2370
36,NY,10007,13.66,3440
36,NY,10009,29.5,32410
36,NY,10010,14.75,17360
36,NY,10011,17.11,29920
36,NY,10012,19.17,12470
36,NY,10013,28.51,14940
36,NY,10014,14.84,18660
36,NY,10016,16.19,31940
36,NY,10017,15.36,11850
36,NY,10018,22.38,6390
36,NY,10019,19.59,25110
36,NY,10021,14.7,23530
36,NY,10022,13.96,19840
36,NY,10023,17.35,34070
36,NY,10024,18.78,30410
36,NY,10025,27.38,45610
36,NY,10026,38.25,18040
36,NY,10027,42.27,27180
36,NY,10028,15.62,25100
36,NY,10029,47.32,35060
36,NY,10030,47.62,13630
36,NY,10031,47.17,29340
36,NY,10032,49.11,29300
36,NY,10033,47.53,26930
36,NY,10034,46.18,20140
36,NY,10035,46.53,15130
36,NY,10036,23.93,18720
36,NY,10037,36.75,10530
36,NY,10038,28.45,12090
36,NY,10039,47.03,13290
36,NY,10040,45.96,21300
36,NY,10044,27,4260
36,NY,10065,14.89,15780
36,NY,10069,12.8,2890
36,NY,10075,15.34,14080
36,NY,10119,17.24,290
36,NY,10128,17.88,32950
36,NY,10162,13.33,750
36,NY,10165,0,100
36,NY,10170,18.52,270
36,NY,10280,11.43,4200
36,NY,10282,9.52,2310
36,NY,10301,35.9,18080
36,NY,10302,39.85,8080
36,NY,10303,43.39,12170
36,NY,10304,41.78,19720
36,NY,10305,34.72,19300
36,NY,10306,30.74,26840
36,NY,10307,27.54,6500
36,NY,10308,27.75,13620
36,NY,10309,27.33,15000
36,NY,10310,38.13,11460
36,NY,10312,26.89,29230
36,NY,10314,30.27,40740
36,NY,10451,52.51,23290
36,NY,10452,58.98,36200
36,NY,10453,61.91,37600
36,NY,10454,61.49,15840
36,NY,10455,57.93,17780
36,NY,10456,60.71,40390
36,NY,10457,61.12,32720
36,NY,10458,57.75,34320
36,NY,10459,57.71,21280
36,NY,10460,58.12,25120
36,NY,10461,35.62,24090
36,NY,10462,40.7,39510
36,NY,10463,36.51,33940
36,NY,10464,25.81,2170
36,NY,10465,31.52,19700
36,NY,10466,45.02,32740
36,NY,10467,49.6,44640
36,NY,10468,56.7,35660
36,NY,10469,41.02,32670
36,NY,10470,37.08,7660
36,NY,10471,23.44,10070
36,NY,10472,56.06,28880
36,NY,10473,45.61,27910
36,NY,10474,58.22,5050
36,NY,10475,32.43,22790
36,NY,10501,27.14,700
36,NY,10502,22.89,2840
36,NY,10503,0,120
36,NY,10504,20.38,4710
36,NY,10505,31.34,670
36,NY,10506,25.18,2820
36,NY,10507,30.45,2660
36,NY,10509,29.32,9960
36,NY,10510,21.64,4760
36,NY,10511,28.45,1160
36,NY,10512,26.78,12510
36,NY,10514,22.2,5360
36,NY,10516,25.18,2740
36,NY,10517,25,440
36,NY,10518,27.03,740
36,NY,10519,25,280
36,NY,10520,24.03,6450
36,NY,10522,21.95,5240
36,NY,10523,30.37,4840
36,NY,10524,24.77,2140
36,NY,10526,24.24,990
36,NY,10527,20.45,440
36,NY,10528,26.1,5900
36,NY,10530,19.75,7240
36,NY,10532,22.69,2600
36,NY,10533,21.07,3750
36,NY,10535,30.95,420
36,NY,10536,25.9,5250
36,NY,10537,28.8,1250
36,NY,10538,20.62,8050
36,NY,10541,27.44,12680
36,NY,10543,28.06,9730
36,NY,10545,78.95,190
36,NY,10546,22.22,720
36,NY,10547,28.53,3680
36,NY,10548,26.42,1590
36,NY,10549,31.99,8190
36,NY,10550,44.96,19060
36,NY,10552,27.59,10910
36,NY,10553,35.76,5900
36,NY,10560,23.83,2140
36,NY,10562,30.7,15930
36,NY,10566,36.6,12240
36,NY,10567,24.97,9810
36,NY,10570,24.67,6040
36,NY,10573,35.79,18890
36,NY,10576,22.89,2490
36,NY,10577,27.1,1550
36,NY,10578,26.19,420
36,NY,10579,23.09,4330
36,NY,10580,24.22,8010
36,NY,10583,21.41,18730
36,NY,10588,25.93,1350
36,NY,10589,19.65,4580
36,NY,10590,23.13,3200
36,NY,10591,29.94,11990
36,NY,10594,25.1,2550
36,NY,10595,23.75,3200
36,NY,10596,30.23,860
36,NY,10597,24,500
36,NY,10598,24.59,14560
36,NY,10601,28.93,6050
36,NY,10603,28.18,9970
36,NY,10604,30.36,5600
36,NY,10605,24.26,10100
36,NY,10606,36.59,8280
36,NY,10607,27.3,4030
36,NY,10701,42.49,28780
36,NY,10703,36.18,10640
36,NY,10704,28.5,16980
36,NY,10705,43.49,18510
36,NY,10706,21.51,4510
36,NY,10707,24.62,5200
36,NY,10708,20.67,11320
36,NY,10709,24.33,4850
36,NY,10710,25.37,14110
36,NY,10801,37.16,18460
36,NY,10803,22.17,6000
36,NY,10804,21.05,7080
36,NY,10805,30.91,9220
36,NY,10901,28.61,11430
36,NY,10913,26.15,2600
36,NY,10914,22.86,350
36,NY,10915,36.84,190
36,NY,10916,27.4,2190
36,NY,10917,31.68,1010
36,NY,10918,28.07,5700
36,NY,10919,29.51,610
36,NY,10920,26.89,4500
36,NY,10921,28.17,2130
36,NY,10922,25.61,820
36,NY,10923,33.06,4870
36,NY,10924,28.48,6180
36,NY,10925,29.63,2430
36,NY,10926,28.95,1900
36,NY,10927,48.61,6110
36,NY,10928,32.89,2250
36,NY,10930,28.31,4310
36,NY,10931,35.29,510
36,NY,10932,31.58,190
36,NY,10933,31.82,220
36,NY,10940,36.73,24230
36,NY,10941,31.19,6990
36,NY,10950,37.74,17490
36,NY,10952,43.77,12200
36,NY,10953,25,200
36,NY,10954,28.59,12380
36,NY,10956,25.74,15970
36,NY,10958,30.43,1610
36,NY,10960,29.84,7740
36,NY,10962,25.59,2540
36,NY,10963,30.83,1200
36,NY,10964,22.67,750
36,NY,10965,24.97,7890
36,NY,10968,19.53,1280
36,NY,10969,30.77,650
36,NY,10970,28.74,5220
36,NY,10973,31.58,1140
36,NY,10974,29.49,1560
36,NY,10975,29.41,170
36,NY,10976,37.65,850
36,NY,10977,45.54,24330
36,NY,10979,40,100
36,NY,10980,28.43,7070
36,NY,10983,23.83,2980
36,NY,10984,23.7,1350
36,NY,10985,26.67,150
36,NY,10986,27.66,940
36,NY,10987,31.75,1890
36,NY,10988,33.33,360
36,NY,10989,23.81,5040
36,NY,10990,29.11,9790
36,NY,10992,28.96,4730
36,NY,10993,38.74,2530
36,NY,10994,25.32,3870
36,NY,10996,29.36,1090
36,NY,10998,27.1,1550
36,NY,11001,27.76,13870
36,NY,11003,34.4,23980
36,NY,11004,29.39,6840
36,NY,11005,14.48,1450
36,NY,11010,27.8,12660
36,NY,11020,28.85,3050
36,NY,11021,22.93,9290
36,NY,11023,24.87,3980
36,NY,11024,30.38,3160
36,NY,11030,21.89,8590
36,NY,11040,25.94,21320
36,NY,11042,21.74,460
36,NY,11050,27.41,15030
36,NY,11096,48.78,4100
36,NY,11101,30.92,18530
36,NY,11102,35.43,19250
36,NY,11103,34.04,20830
36,NY,11104,34.61,15110
36,NY,11105,32.54,19670
36,NY,11106,34.96,21880
36,NY,11109,10.11,3560
36,NY,11201,18.45,31970
36,NY,11203,42.66,37760
36,NY,11204,50.03,33200
36,NY,11205,37.29,18770
36,NY,11206,47.57,36490
36,NY,11207,51.62,43530
36,NY,11208,53.83,44010
36,NY,11209,32.1,34110
36,NY,11210,39.29,29470
36,NY,11211,32.5,30950
36,NY,11212,53.87,38370
36,NY,11213,45.9,29300
36,NY,11214,48.21,40860
36,NY,11215,19.19,32930
36,NY,11216,35.87,29020
36,NY,11217,22.31,19230
36,NY,11218,40.34,33120
36,NY,11219,60.13,33910
36,NY,11220,67.01,53900
36,NY,11221,44.23,39520
36,NY,11222,26.14,22570
36,NY,11223,47.37,32740
36,NY,11224,50,20240
36,NY,11225,38.46,30600
36,NY,11226,44.86,52070
36,NY,11228,41.91,19710
36,NY,11229,40.85,36350
36,NY,11230,42.83,35490
36,NY,11231,25.38,17020
36,NY,11232,48.91,12860
36,NY,11233,45.06,31980
36,NY,11234,33.79,42560
36,NY,11235,43.39,38700
36,NY,11236,40.17,47920
36,NY,11237,44.46,23730
36,NY,11238,25.05,30940
36,NY,11239,39.94,7210
36,NY,11354,58.94,30420
36,NY,11355,68.58,50960
36,NY,11356,47.33,12380
36,NY,11357,31.03,19850
36,NY,11358,42.31,18980
36,NY,11360,26.79,10040
36,NY,11361,35.53,13930
36,NY,11362,28.6,8740
36,NY,11363,28.28,3430
36,NY,11364,34.04,17800
36,NY,11365,40.48,21470
36,NY,11366,36.55,6730
36,NY,11367,42.15,18860
36,NY,11368,57.43,48530
36,NY,11369,49.19,17950
36,NY,11370,45.2,13230
36,NY,11372,45.43,35020
36,NY,11373,53.82,50870
36,NY,11374,34.76,22900
36,NY,11375,25.37,35470
36,NY,11377,46.12,45490
36,NY,11378,38.15,17640
36,NY,11379,31.27,17750
36,NY,11385,40.25,48790
36,NY,11411,33.64,10760
36,NY,11412,39.32,19280
36,NY,11413,36.48,21710
36,NY,11414,28.38,13320
36,NY,11415,30.4,9670
36,NY,11416,49.31,12330
36,NY,11417,42.58,14960
36,NY,11418,46.02,17710
36,NY,11419,50.68,23560
36,NY,11420,43.48,23020
36,NY,11421,45.4,20310
36,NY,11422,35.81,16560
36,NY,11423,41.69,15280
36,NY,11426,33.41,9130
36,NY,11427,35.16,11690
36,NY,11428,38.93,10120
36,NY,11429,40.08,13300
36,NY,11430,33.33,180
36,NY,11432,47.49,28320
36,NY,11433,48.49,16540
36,NY,11434,39.01,32580
36,NY,11435,44.86,26370
36,NY,11436,42.86,9730
36,NY,11501,26.23,10940
36,NY,11507,25.33,3790
36,NY,11509,24.22,1280
36,NY,11510,29.19,18160
36,NY,11514,25.68,2570
36,NY,11516,29.27,3280
36,NY,11518,25.54,5600
36,NY,11520,39.84,24070
36,NY,11530,23.02,14510
36,NY,11542,34.91,13520
36,NY,11545,25.42,6020
36,NY,11547,26.42,530
36,NY,11548,31.43,700
36,NY,11550,46.92,28560
36,NY,11552,30.43,12980
36,NY,11553,41.76,14510
36,NY,11554,26.93,19680
36,NY,11557,25.24,4120
36,NY,11558,30.82,4250
36,NY,11559,31.09,3860
36,NY,11560,26.43,3330
36,NY,11561,25.46,19440
36,NY,11563,26.05,11630
36,NY,11565,22.55,4790
36,NY,11566,24.4,18280
36,NY,11568,25.15,1710
36,NY,11569,21.84,870
36,NY,11570,25.46,14220
36,NY,11572,26.32,16070
36,NY,11575,45.33,9110
36,NY,11576,22.67,6220
36,NY,11577,23.99,5920
36,NY,11579,25,2600
36,NY,11580,30.41,22100
36,NY,11581,27.24,10830
36,NY,11590,36.11,25340
36,NY,11596,24.73,5460
36,NY,11598,24.79,5850
36,NY,11691,48.83,22610
36,NY,11692,46.92,8780
36,NY,11693,39.62,5780
36,NY,11694,30.18,8880
36,NY,11697,23.53,2210
36,NY,11701,36.98,14630
36,NY,11702,24.84,7810
36,NY,11703,27.47,9210
36,NY,11704,30.56,20810
36,NY,11705,27.05,4030
36,NY,11706,36.96,32710
36,NY,11709,27.97,3540
36,NY,11710,26.03,17940
36,NY,11713,35.49,5410
36,NY,11714,28.28,12340
36,NY,11715,25.82,2440
36,NY,11716,28.05,5490
36,NY,11717,44.84,32270
36,NY,11718,22.47,1780
36,NY,11719,25,1600
36,NY,11720,29.67,14560
36,NY,11721,23.35,3340
36,NY,11722,41.13,18990
36,NY,11724,24.39,1640
36,NY,11725,26.37,14790
36,NY,11726,41.52,11030
36,NY,11727,29.01,14720
36,NY,11729,31.11,14980
36,NY,11730,26.83,7530
36,NY,11731,27.18,15340
36,NY,11732,22.34,1880
36,NY,11733,24.37,8780
36,NY,11735,28.66,17690
36,NY,11738,30.56,8410
36,NY,11739,24.68,770
36,NY,11740,27.61,4600
36,NY,11741,26.92,14450
36,NY,11742,27.88,6850
36,NY,11743,25.56,22220
36,NY,11746,32.66,33650
36,NY,11747,24.18,10960
36,NY,11749,30.94,1810
36,NY,11751,27.8,7770
36,NY,11752,29.61,5370
36,NY,11753,23.6,6440
36,NY,11754,26.96,9680
36,NY,11755,28.66,6280
36,NY,11756,27.61,22960
36,NY,11757,31.31,23540
36,NY,11758,26.19,29170
36,NY,11762,24.64,11850
36,NY,11763,31.54,14520
36,NY,11764,26.57,6360
36,NY,11765,18.18,330
36,NY,11766,25.36,6190
36,NY,11767,26.62,7250
36,NY,11768,25.07,11130
36,NY,11769,25.59,5080
36,NY,11770,37.5,160
36,NY,11771,26.41,5150
36,NY,11772,32.11,22800
36,NY,11776,31.76,12250
36,NY,11777,25.96,4700
36,NY,11778,27.95,6190
36,NY,11779,28.94,19350
36,NY,11780,27.74,7860
36,NY,11782,25.62,8120
36,NY,11783,24.6,11260
36,NY,11784,31.88,12360
36,NY,11786,27.62,3150
36,NY,11787,25.84,17530
36,NY,11788,26.44,8660
36,NY,11789,28.15,3730
36,NY,11790,26.56,6740
36,NY,11791,23.79,12150
36,NY,11792,24.77,4280
36,NY,11793,24.73,16860
36,NY,11795,26.29,13200
36,NY,11796,25.53,1880
36,NY,11797,25.16,4610
36,NY,11798,43.21,8610
36,NY,11801,32.23,22000
36,NY,11803,23.47,14230
36,NY,11804,22.71,2510
36,NY,11901,39.06,13030
36,NY,11930,32.23,1210
36,NY,11931,28.32,1130
36,NY,11932,27.45,1020
36,NY,11933,31.36,3540
36,NY,11934,28.18,4010
36,NY,11935,28.72,1950
36,NY,11937,34.72,8870
36,NY,11939,26.42,530
36,NY,11940,28.16,2770
36,NY,11941,26.43,1400
36,NY,11942,31.8,2610
36,NY,11944,35.32,2350
36,NY,11946,34.57,7520
36,NY,11947,26.15,650
36,NY,11948,30.43,690
36,NY,11949,29.88,7230
36,NY,11950,38.35,7640
36,NY,11951,37.8,6270
36,NY,11952,30.89,2590
36,NY,11953,29.76,6620
36,NY,11954,33.96,2680
36,NY,11955,29.48,1730
36,NY,11956,30,200
36,NY,11957,24.44,450
36,NY,11958,34,500
36,NY,11959,26.39,720
36,NY,11960,24.68,770
36,NY,11961,30.01,6930
36,NY,11962,20,350
36,NY,11963,29.06,4060
36,NY,11964,29.35,920
36,NY,11965,27.78,540
36,NY,11967,34.14,12860
36,NY,11968,32.63,5240
36,NY,11970,27.27,220
36,NY,11971,28.29,3040
36,NY,11972,32.69,520
36,NY,11973,0,120
36,NY,11975,26.92,520
36,NY,11976,27.93,1110
36,NY,11977,32.09,1340
36,NY,11978,34.9,1920
36,NY,11980,25.4,2480
36,NY,12501,31.37,1020
36,NY,12508,31.45,8680
36,NY,12512,33.33,120
36,NY,12514,27.41,1350
36,NY,12518,29.1,2990
36,NY,12520,24.4,1680
36,NY,12522,32.74,2260
36,NY,12524,26.06,8020
36,NY,12527,25,280
36,NY,12531,27.39,1570
36,NY,12533,26.67,12710
36,NY,12538,31.69,6690
36,NY,12540,27.22,3710
36,NY,12543,33.13,1600
36,NY,12545,28.05,2210
36,NY,12546,34.31,1370
36,NY,12549,29.47,5090
36,NY,12550,39.8,25580
36,NY,12553,30.9,13040
36,NY,12563,33.43,3560
36,NY,12564,28.21,3510
36,NY,12566,31.84,5120
36,NY,12567,32.06,1310
36,NY,12569,28.99,5140
36,NY,12570,26.88,3460
36,NY,12571,30.89,4630
36,NY,12572,27.6,4420
36,NY,12574,29.41,170
36,NY,12575,26.96,1150
36,NY,12577,28.71,1010
36,NY,12578,29.2,1130
36,NY,12580,29.19,1850
36,NY,12581,27.72,1010
36,NY,12582,24.78,2300
36,NY,12583,32.71,1070
36,NY,12585,27.27,440
36,NY,12586,33.39,6200
36,NY,12590,29.27,18520
36,NY,12592,30.91,550
36,NY,12594,33.67,1960
36,NY,12601,41.71,17980
36,NY,12603,29.35,20990
36,NY,12729,37.5,800
36,NY,12746,37.5,560
36,NY,12771,40.22,6290
36,NY,12780,34.55,1100
